City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
195,ciudad lazaro cardenas,17.9583,-102.2,30.75,69,11,3.5,MX,1693259883
196,abatskoye,56.2875,70.4555,8.01,94,21,2.6,RU,1693259883
197,dryden,49.7833,-92.7503,21.16,56,20,4.12,CA,1693259884
198,port antonio,18.18,-76.4612,32.95,71,85,5.44,JM,1693259884
199,dawei,14.0833,98.2,24.81,95,100,1.85,MM,1693259885
200,ambon,-3.6954,128.1814,27.15,95,95,7.5,ID,1693259885
201,abasolo,20.45,-101.5167,25.5,50,75,1.22,MX,1693259885
202,nicoya,10.1483,-85.452,27.73,82,100,1.29,CR,1693259886
203,egilsstadir,65.2653,-14.3948,7.95,93,100,5.66,IS,1693259886
204,punta arenas,-53.15,-70.9167,3.95,80,30,2.6,CL,1693259699
205,krasnogorskiy,54.6025,61.231,9.67,98,100,2.56,RU,1693259887
206,port lincoln,-34.7333,135.8667,17.41,41,49,8.17,AU,1693259888
207,zhanaozen,43.3,52.8,20.89,76,4,4.0,KZ,1693259888
208,tamanrasset,22.785,5.5228,27.95,30,40,2.06,DZ,1693259617
209,karratha,-20.7377,116.8463,21.06,31,4,4.09,AU,1693259889
210,mossel bay,-34.1831,22.146,13.96,67,0,2.03,ZA,1693259889
211,port mathurin,-19.6833,63.4167,22.6,76,5,9.84,MU,1693259889
212,newman,37.3138,-121.0208,36.7,8,0,3.3,US,1693259890
213,black forest,39.0131,-104.7008,23.1,56,40,5.66,US,1693259890
214,san clemente del tuyu,-36.3569,-56.7235,9.43,73,100,4.52,AR,1693259891
215,isola di capo rizzuto,38.96,17.0933,23.44,67,71,7.81,IT,1693259891
216,ola,59.5833,151.2833,13.78,66,14,3.03,RU,1693259892
217,morant bay,17.8815,-76.4093,32.79,74,66,3.23,JM,1693259892
218,kimbe,-5.5502,150.1429,27.33,76,88,4.01,PG,1693259892
219,sompeta,18.9333,84.6,27.75,67,10,1.74,IN,1693259893
220,hadibu,12.65,54.0333,26.18,82,34,8.04,YE,1693259893
221,igarka,67.4667,86.5833,9.68,89,99,3.65,RU,1693259894
222,heggadadevankote,12.0883,76.3283,20.23,94,97,2.18,IN,1693259894
223,puerto baquerizo moreno,-0.9,-89.6,28.55,61,40,6.17,EC,1693259894
224,afaahiti,-17.75,-149.2833,23.31,92,63,7.43,PF,1693259895
225,datong,40.0936,113.2914,14.3,76,10,1.19,CN,1693259895
226,fort st. john,56.2499,-120.8529,25.94,38,0,3.6,CA,1693259746
227,alice springs,-23.7,133.8833,6.75,42,0,3.09,AU,1693259879
228,cabo san lucas,22.8909,-109.9124,34.54,69,4,4.88,MX,1693259638
229,meadow lakes,61.6247,-149.6011,15.41,94,100,1.54,US,1693259896
230,kudahuvadhoo,2.6708,72.8944,28.21,75,69,5.87,MV,1693259897
231,undurkhaan,47.3194,110.6556,9.34,87,3,1.04,MN,1693259897
232,tannum sands,-23.9504,151.3693,19.3,77,14,2.06,AU,1693259898
233,zhicheng,30.2956,111.5047,19.77,87,67,2.15,CN,1693259898
234,badger,64.8,-147.5333,12.77,74,75,0.0,US,1693259898
235,palu,-0.8917,119.8707,23.3,94,31,1.55,ID,1693259899
236,san julian,21.0167,-102.1667,24.57,48,61,2.13,MX,1693259899
237,holualoa,19.6228,-155.9522,28.08,69,40,4.63,US,1693259901
238,paragominas,-2.9667,-47.4833,31.17,37,80,1.74,BR,1693259902
239,klyuchi,52.2667,79.1667,15.1,71,97,4.22,RU,1693259773
240,isla vista,34.4133,-119.861,38.88,38,0,2.34,US,1693259903
241,white horse,40.1907,-74.7024,25.39,76,75,5.14,US,1693259903
242,arraial do cabo,-22.9661,-42.0278,17.92,94,100,4.12,BR,1693259903
243,qarqin,37.4185,66.0436,20.77,17,0,1.04,AF,1693259904
244,pont rouge,48.8833,-72.0825,23.16,65,100,2.13,CA,1693259904
245,mbandaka,0.0487,18.2603,23.3,88,78,0.91,CD,1693259905
246,zeya,53.75,127.2667,13.84,68,1,1.08,RU,1693259905
247,sao desiderio,-12.3633,-44.9733,24.63,63,75,1.82,BR,1693259906
248,talcahuano,-36.7167,-73.1167,13.82,67,20,5.14,CL,1693259906
249,pariaman,-0.619,100.12,24.03,88,76,1.54,ID,1693259907
250,sao raimundo das mangabeiras,-7.0219,-45.4811,33.12,29,83,1.27,BR,1693259907
251,tabuk,17.4189,121.4443,23.25,94,100,0.43,PH,1693259907
252,lihue,21.9789,-159.3672,28.58,71,75,3.09,US,1693259764
253,moshkovo,55.3053,83.6104,14.58,95,100,3.46,RU,1693259908
254,minas de marcona,-15.2119,-75.1103,17.38,62,1,5.16,PE,1693259909
255,port saint john's,-31.6229,29.5448,16.37,80,0,5.81,ZA,1693259909
256,ketchikan,55.3422,-131.6461,24.26,60,0,3.09,US,1693259641
257,akrehamn,59.2667,5.1833,14.67,82,100,5.14,NO,1693259910
258,pamandzi,-12.7967,45.2794,24.88,78,75,2.06,YT,1693259910
259,kuruman,-27.4524,23.4325,12.22,34,55,4.05,ZA,1693259911
260,horta,38.5333,-28.6333,23.34,93,60,4.47,PT,1693259911
261,st. john's,47.5649,-52.7093,19.43,80,20,7.72,CA,1693259614
262,santa terezinha,-29.9002,-50.0904,11.92,80,0,2.72,BR,1693259912
263,yashikira,9.7667,3.4,22.74,86,38,1.64,NG,1693259912
264,cockburn town,21.4612,-71.1419,29.52,69,33,1.2,TC,1693259913
265,uacu cungo,-11.3634,15.1208,19.83,43,43,1.12,AO,1693259913
